
> blog-sas-tool1@1.0.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.213:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 977ms
 GET /planner 200 in 2.2s (compile: 1190ms, proxy.ts: 13ms, render: 1013ms)
 POST /access 200 in 339ms (compile: 5ms, proxy.ts: 12ms, render: 322ms)
 POST /access 200 in 346ms (compile: 3ms, proxy.ts: 12ms, render: 331ms)
 POST /access 200 in 267ms (compile: 5ms, proxy.ts: 11ms, render: 251ms)
 POST /access 200 in 291ms (compile: 9ms, proxy.ts: 10ms, render: 272ms)
 GET /planner 200 in 999ms (compile: 171ms, proxy.ts: 13ms, render: 815ms)
 POST /planner 200 in 29ms (compile: 4ms, proxy.ts: 12ms, render: 13ms)
 POST /planner 200 in 486ms (compile: 4ms, proxy.ts: 9ms, render: 473ms)
 POST /planner 200 in 255ms (compile: 3ms, proxy.ts: 8ms, render: 243ms)
 GET /planner 200 in 601ms (compile: 3ms, proxy.ts: 8ms, render: 590ms)
 POST /planner 200 in 12ms (compile: 2ms, proxy.ts: 6ms, render: 4ms)
 POST /planner 200 in 325ms (compile: 1961µs, proxy.ts: 5ms, render: 319ms)
 POST /planner 200 in 251ms (compile: 3ms, proxy.ts: 7ms, render: 241ms)
 POST /planner 200 in 538ms (compile: 13ms, proxy.ts: 32ms, render: 493ms)
 POST /planner 200 in 2.2s (compile: 14ms, proxy.ts: 235ms, render: 1925ms)
 GET /planner 200 in 841ms (compile: 5ms, proxy.ts: 11ms, render: 825ms)
 POST /planner 200 in 13ms (compile: 3ms, proxy.ts: 5ms, render: 5ms)
 POST /planner 200 in 510ms (compile: 2ms, proxy.ts: 6ms, render: 501ms)
 POST /planner 200 in 384ms (compile: 10ms, proxy.ts: 22ms, render: 352ms)
 POST /planner 200 in 670ms (compile: 5ms, proxy.ts: 8ms, render: 657ms)
 POST /planner 200 in 1333ms (compile: 13ms, proxy.ts: 31ms, render: 1289ms)
 POST /planner 200 in 370ms (compile: 3ms, proxy.ts: 7ms, render: 360ms)
 POST /planner 200 in 1163ms (compile: 9ms, proxy.ts: 21ms, render: 1134ms)
 GET / 200 in 1527ms (compile: 106ms, proxy.ts: 416ms, render: 1005ms)
 POST / 200 in 14ms (compile: 2ms, proxy.ts: 8ms, render: 4ms)
 POST / 200 in 671ms (compile: 1472µs, proxy.ts: 5ms, render: 665ms)
 POST / 200 in 462ms (compile: 4ms, proxy.ts: 11ms, render: 447ms)
 GET /planner 200 in 48ms (compile: 8ms, proxy.ts: 24ms, render: 16ms)
 POST / 200 in 344ms (compile: 4ms, proxy.ts: 10ms, render: 330ms)
 POST /planner 200 in 280ms (compile: 4ms, proxy.ts: 7ms, render: 269ms)
 POST /planner 200 in 311ms (compile: 1734µs, proxy.ts: 4ms, render: 305ms)
 POST /planner 200 in 363ms (compile: 5ms, proxy.ts: 9ms, render: 349ms)
 POST /planner 200 in 1096ms (compile: 11ms, proxy.ts: 12ms, render: 1073ms)
✓ Compiled in 108ms
 GET /planner 200 in 959ms (compile: 224ms, proxy.ts: 503ms, render: 232ms)
 GET /access 200 in 975ms (compile: 16ms, proxy.ts: 522ms, render: 437ms)
 GET /access 200 in 208ms (compile: 1401µs, proxy.ts: 5ms, render: 202ms)
 GET /planner 200 in 987ms (compile: 182ms, proxy.ts: 536ms, render: 269ms)
 GET /planner 200 in 1120ms (compile: 8ms, proxy.ts: 41ms, render: 1071ms)
 POST /planner 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 POST /planner 200 in 405ms (compile: 4ms, proxy.ts: 8ms, render: 393ms)
 POST /planner 200 in 280ms (compile: 5ms, proxy.ts: 8ms, render: 267ms)
 GET /planner 200 in 719ms (compile: 12ms, proxy.ts: 26ms, render: 681ms)
 POST /planner 200 in 15ms (compile: 3ms, proxy.ts: 8ms, render: 4ms)
 POST /planner 200 in 402ms (compile: 1512µs, proxy.ts: 9ms, render: 391ms)
 POST /planner 200 in 266ms (compile: 6ms, proxy.ts: 11ms, render: 249ms)
 POST /planner 200 in 388ms (compile: 2ms, proxy.ts: 5ms, render: 381ms)
 POST /planner 200 in 1071ms (compile: 6ms, proxy.ts: 18ms, render: 1047ms)
 GET /planner 200 in 866ms (compile: 10ms, proxy.ts: 72ms, render: 784ms)
 POST /planner 200 in 12ms (compile: 2ms, proxy.ts: 5ms, render: 5ms)
 POST /planner 200 in 447ms (compile: 3ms, proxy.ts: 4ms, render: 440ms)
 POST /planner 200 in 281ms (compile: 4ms, proxy.ts: 8ms, render: 269ms)
 POST /planner 200 in 354ms (compile: 4ms, proxy.ts: 8ms, render: 342ms)
 POST /planner 200 in 969ms (compile: 13ms, proxy.ts: 28ms, render: 928ms)
 GET /api/planner 404 in 2.2s (compile: 243ms, proxy.ts: 663ms, render: 1294ms)
 POST /planner 200 in 865ms (compile: 11ms, proxy.ts: 19ms, render: 835ms)
 POST /planner 200 in 329ms (compile: 4ms, proxy.ts: 11ms, render: 314ms)
 POST /planner 200 in 4.8s (compile: 12ms, proxy.ts: 42ms, render: 4.8s)
 POST /planner 200 in 401ms (compile: 2ms, proxy.ts: 7ms, render: 392ms)
 POST /planner 200 in 1243ms (compile: 10ms, proxy.ts: 23ms, render: 1209ms)
 GET / 200 in 1000ms (compile: 9ms, proxy.ts: 24ms, render: 966ms)
 POST / 200 in 10ms (compile: 1574µs, proxy.ts: 6ms, render: 3ms)
 POST / 200 in 639ms (compile: 1701µs, proxy.ts: 4ms, render: 633ms)
 POST / 200 in 467ms (compile: 4ms, proxy.ts: 10ms, render: 454ms)
 POST / 200 in 351ms (compile: 7ms, proxy.ts: 8ms, render: 336ms)
 GET /planner 200 in 32ms (compile: 6ms, proxy.ts: 7ms, render: 18ms)
 POST /planner 200 in 260ms (compile: 3ms, proxy.ts: 7ms, render: 250ms)
 POST /planner 200 in 289ms (compile: 8ms, proxy.ts: 9ms, render: 272ms)
Generating post 1230ae9f-2efa-4686-a75c-38fb3fed9083 for project 8dece37c-b0a6-4e5c-9e62-9f75b94b38e1...
--- GENERATED PROMPTS ---
Using Real OpenAI for generation...
 POST /planner 200 in 7.5s (compile: 8ms, proxy.ts: 15ms, render: 7.4s)
 GET /planner 200 in 723ms (compile: 6ms, proxy.ts: 12ms, render: 705ms)
 POST /planner 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 POST /planner 200 in 371ms (compile: 1606µs, proxy.ts: 16ms, render: 353ms)
 POST /planner 200 in 268ms (compile: 5ms, proxy.ts: 6ms, render: 257ms)
✓ Compiled in 52ms
 GET /planner 200 in 454ms (compile: 150ms, proxy.ts: 9ms, render: 295ms)
 GET /access 200 in 496ms (compile: 233ms, proxy.ts: 11ms, render: 252ms)
 GET /planner 200 in 583ms (compile: 222ms, proxy.ts: 14ms, render: 347ms)
 GET /planner 200 in 288ms (compile: 48ms, proxy.ts: 33ms, render: 207ms)
 GET /access 200 in 285ms (compile: 86ms, proxy.ts: 35ms, render: 163ms)
 GET /planner 200 in 291ms (compile: 33ms, proxy.ts: 32ms, render: 226ms)
